id,uuid,observed_on,quality_grade,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
29158,068ac49b-6c58-4905-8a8c-10f61530af77,2011-06-03,research,38.3042877689,-90.2521920204,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
75428,7ef619fc-2f7b-46e2-9906-b6e30bf4baf9,2012-05-03,research,38.7291895,-83.2291862,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
91371,5be63681-a19b-40a3-aac9-170fd0b34982,2011-05-27,research,37.5333333333,-88.9826666667,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
190077,1a210f5b-ccdb-496c-90f5-d847c1a41935,2011-05-11,research,35.7509704394,-79.0510940552,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
200931,0c47dac4-1d90-4e33-96e3-a982289cecba,2011-05-06,needs_id,34.2173,-94.8188,Periodical Cicadas,Magicicada tredecim,Riley's 13-Year Cicada,Insecta,83853
200932,f024a700-b33c-45ce-b325-6d69679217bb,2011-05-11,research,34.3745,-93.5004,Riley's 13-Year Cicada,Magicicada tredecim,Riley's 13-Year Cicada,Insecta,83853
268055,3390843c-7552-4185-ba25-2b59c67f42a6,2013-05-13,research,38.674439,-77.47895,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
270584,966b0ebf-ab3a-408e-b089-2a0e62764c09,2013-05-11,needs_id,38.683108,-77.263226,Magicicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
270590,790b981b-f7d7-48e5-a1fc-3b48d39a9c12,2013-05-17,research,38.674682,-77.33574,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
271492,47c2f8d1-bf34-4807-bd7f-6fa12c61664a,2013-05-18,research,38.674641,-77.479073,Pharaoh cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
271500,e761752a-6531-4288-9bbc-01d67bf29d72,2013-05-18,needs_id,40.4706137968,-74.325559234,Periodical Cicadas,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
274279,73966dbb-c0f8-4376-9c60-b794c34fc8f0,2013-05-16,research,38.2398351667,-76.48645195,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
276514,4a379842-354f-4d84-b15c-80052db335ca,2013-05-19,research,37.8554177003,-78.16801549,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
276681,668c29d5-81b7-4087-9b2a-87a611149bea,2013-05-23,research,37.9983981773,-78.0458692863,Magicicada,Magicicada,Periodical Cicadas,Insecta,83854
280825,15b108d2-60a3-4a4b-b58c-c814bda425b3,2013-05-25,research,36.409126,-79.968109,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
285217,c6c4169c-28f1-4eb1-aec8-bec41dcd7e25,2013-06-01,needs_id,37.626624,-77.589164,Periodical Cicadas,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
285604,eee7e1eb-ee83-4dde-bc97-1cf36f16f47c,2013-06-01,research,38.674754,-77.478783,Pharaoh cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
288239,5399d2c6-72c5-442e-9dc3-51133af07350,2013-06-03,research,36.418243,-79.962273,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
288912,819a5781-6ea7-4e83-a429-f216aa23c66e,2013-06-04,research,40.63291,-75.972819,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
297376,db1ff7f1-e69e-495b-b98d-12d3b64f9618,2011-06-20,research,39.803426,-88.900166,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
297454,c6fb11bb-8914-4b6c-a596-92635a9dd715,2013-06-12,research,41.373512,-72.725751,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
298808,9c37c735-fe74-4565-a1db-ded15f38eb0e,2013-06-12,research,41.37381,-72.726084,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
306159,471658ad-141a-494d-a479-4e0826e3d0da,2013-06-09,research,41.547639,-72.845934,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
307376,3e489bef-ad86-4eab-865d-5b5340ed6bab,2013-06-09,research,38.487556,-76.591377,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
307377,14476192-4478-4885-9b9c-c92460e0f1d5,2013-06-09,research,38.487556,-76.591377,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
307954,b12fa41e-6e97-46cc-a1b0-704186d94a75,2013-06-17,research,41.319785,-72.560234,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
309262,0b0e7bd9-d385-46c0-bce9-7c8b9ca71593,2013-06-22,research,41.347149,-72.755429,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
344733,76dd8fbc-d70b-4db4-b9c3-649b85a7f083,2013-05-23,research,40.542299,-74.157239,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
348518,fa04ffb8-32c1-497a-945c-477e0661a488,2013-05-21,research,40.517933,-74.222009,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
362568,bf230ec1-71ed-4662-93fc-b3a33092b77b,2013-05-25,research,36.435726,-79.950048,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
382904,5228f271-c5a4-4d08-9627-ecb493fc6320,2013-06-09,research,41.299444,-74.002778,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
433132,85a87a0a-2212-4b0f-be3d-2fcd7753a70d,2013-06-09,needs_id,38.6253204346,-76.6709213257,Magicicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
452023,0a0ffbf1-a4d1-4f4b-bfc3-122388c0d96e,2013-06-06,research,38.570757,-77.416389,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
508102,cdf5d257-a901-4976-9d35-0769d92016a7,2013-06-15,research,41.312872,-74.006252,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
531541,1a8cb45c-d93e-4b3b-9228-f14bfff84d4e,2013-05-29,research,38.923542,-78.005397,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
595130,d944afa8-4622-4e13-9d21-54df3ad06764,2008-06-21,research,40.028875,-77.280596,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
781422,931aa4dd-0411-48a0-9708-d97f29d4832b,2013-06-14,research,41.973259,-73.932726,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
782890,e7d1b314-dd44-47bc-b359-ed2b95ead9a5,2013-06-15,research,41.1123333333,-74.2153333333,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
822610,beafb3b4-620f-429d-8363-d025d1c4061e,2014-05-27,research,33.590599,-95.93399,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
870228,14732938-60fc-40d2-8093-98fe7a2d59c4,2013-06-02,research,37.261,-78.8105,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
918166,428c9a14-ea1e-4e92-aa28-955ab17e7432,2008-06-05,research,41.636117,-70.564091,Magicicada septendecim,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
1152318,da85bdc0-5f62-4f7a-8611-0614a55c606c,2013-05-23,research,40.853303,-74.937282,Pharaoh Cicada,Magicicada septendecim,Pharaoh Cicada,Insecta,105098
1187605,a16496c8-849c-4761-ac17-f9ede0668652,2014-06-10,research,41.212017,-94.04438,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
1505202,b6126fe9-b24f-4c72-a7e2-858868a3c589,2015-05-17,research,37.460629,-89.138279,Decim Periodical Cicadas,Magicicada septendecim,Decim Periodical Cicadas,Insecta,1248681
1513874,c2992f1d-bf7c-417f-b281-bbf5b451e82c,2015-05-15,needs_id,36.600921037,-88.129234314,Decim Periodical Cicadas,Magicicada septendecim,Decim Periodical Cicadas,Insecta,1248681
1513908,e243ce61-d11f-4daa-bf45-e2630624692f,2015-05-17,research,36.6022991358,-88.1391906738,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
1531452,1f70b1cc-7a78-476d-a604-1578b9bfdb49,2015-05-23,research,38.94626,-92.44653,Periodical Cicadas,Magicicada,Periodical Cicadas,Insecta,83854
